name,_id,run_start_time,run_end_time,status,status_message,btap_standard_envelope.ext_roof_cond,btap_standard_envelope.ext_wall_cond,btap_standard_envelope.fixed_window_cond,btap_standard_systems.daylighting_type,btap_standard_systems.dcv_type,btap_standard_systems.ecm_system_type,btap_standard_systems.lights_type,btap_results.baseline_capital_cost_difference_per_m_2,btap_results.baseline_cost_utility_neb_difference_per_m_2_per_year,btap_results.baseline_energy_percent_change,btap_results.baseline_payback_yrs,btap_results.bldg_conditioned_floor_area_m_sq,btap_results.bldg_exterior_area_m_sq,btap_results.bldg_fdwr,btap_results.bldg_name,btap_results.bldg_nominal_floor_to_ceiling_height,btap_results.bldg_nominal_floor_to_floor_height,btap_results.bldg_srr,btap_results.bldg_standards_building_type,btap_results.bldg_standards_number_of_above_ground_stories,btap_results.bldg_standards_number_of_stories,btap_results.bldg_standards_template,btap_results.bldg_surface_to_volume_ratio,btap_results.bldg_volume_m_cu,btap_results.cost_equipment_envelope_total_cost_per_m_sq,btap_results.cost_equipment_heating_and_cooling_total_cost_per_m_sq,btap_results.cost_equipment_lighting_total_cost_per_m_sq,btap_results.cost_equipment_shw_total_cost_per_m_sq,btap_results.cost_equipment_total_cost_per_m_sq,btap_results.cost_equipment_ventilation_total_cost_per_m_sq,btap_results.cost_rs_means_city,btap_results.cost_rs_means_prov,btap_results.cost_utility_neb_electricity_cost_per_m_sq,btap_results.cost_utility_neb_natural_gas_cost_per_m_sq,btap_results.cost_utility_neb_oil_cost_per_m_sq,btap_results.cost_utility_neb_total_cost_per_m_sq,btap_results.energy_eui_additional_fuel_gj_per_m_sq,btap_results.energy_eui_cooling_gj_per_m_sq,btap_results.energy_eui_district_cooling_gj_per_m_sq,btap_results.energy_eui_district_heating_gj_per_m_sq,btap_results.energy_eui_electricity_gj_per_m_sq,btap_results.energy_eui_fans_gj_per_m_sq,btap_results.energy_eui_heating_gj_per_m_sq,btap_results.energy_eui_interior_equipment_gj_per_m_sq,btap_results.energy_eui_interior_lighting_gj_per_m_sq,btap_results.energy_eui_natural_gas_gj_per_m_sq,btap_results.energy_eui_total_gj_per_m_sq,btap_results.energy_eui_water_systems_gj_per_m_sq,btap_results.energy_peak_electric_w_per_m_sq,btap_results.energy_peak_natural_gas_w_per_m_sq,btap_results.energy_principal_heating_source,btap_results.envelope_ground_floors_average_conductance_w_per_m_sq_k,btap_results.envelope_ground_roofs_average_conductance_w_per_m_sq_k,btap_results.envelope_ground_walls_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_doors_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_floors_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_overhead_doors_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_roofs_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_walls_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_windows_average_conductance_w_per_m_sq_k,btap_results.envelope_skylights_average_conductance_w_per_m_sq_k,btap_results.location_cdd,btap_results.location_city,btap_results.location_country,btap_results.location_hdd,btap_results.location_latitude,btap_results.location_longitude,btap_results.location_state_province_region,btap_results.location_weather_file,btap_results.location_zone,btap_results.shw_additional_fuel_per_year,btap_results.shw_electricity_per_day,btap_results.shw_electricity_per_day_per_occupant,btap_results.shw_electricity_per_year,btap_results.shw_natural_gas_per_year,btap_results.shw_total_nominal_occupancy,btap_results.shw_water_m_cu_per_day,btap_results.shw_water_m_cu_per_day_per_occupant,btap_results.shw_water_m_cu_per_year,btap_results.simulation_btap_data_version,btap_results.simulation_date,btap_results.simulation_os_standards_revision,btap_results.simulation_os_standards_version,openstudio_results.electricity_ip,openstudio_results.eui,openstudio_results.natural_gas_ip
API Generated 2020-11-15 18:18:37 +0000,0091a030-31d0-43b1-9ed4-9efcf3aa823d,2020-11-15T18:25:27.177Z,2020-11-15T18:33:17.234Z,completed,datapoint failure,0.193,0.247,2.2,add_daylighting_controls,Occupancy_based_DCV,HS08_VRFZonal,NECB_Default,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,237.61383911104156,0.0,66.36634321934423,24.633422020502387,328.6136043508882,0.0,CALGARY,ALBERTA,6.000866264965959,0.172558494404883,0.0,6.173424759370842,0.0,0.018233038578918538,0.0,0.0,0.30647938023319504,0.009840363095703889,0.06565458956099851,0.09994913530010173,0.1128022536974724,0.058494404883011185,0.3649737851162062,0.058494404883011185,56.10108380937476,6.104253071445339,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.9,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:30:52 +0000,92d95f99,0.2.11,43516.588103413895,32.13780016802076,28.343399949623794
API Generated 2020-11-15 18:18:39 +0000,00f6b070-6504-468d-8eb0-4c65f6b4c597,2020-11-15T18:44:08.884Z,2020-11-15T18:45:08.112Z,completed,completed normal,0.142,0.183,1.6,add_daylighting_controls,CO2_based_DCV,HS09_CCASHPSys,LED,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,245.9419359887315,12.301647233742859,66.36634321934423,24.633422020502387,349.2433288989749,0.0,CALGARY,ALBERTA,6.354804757805774,0.1725007825338446,0.0,6.5273055403396185,0.0,0.02977541278660302,0.0,0.0,0.32455591204319584,0.05794663119179905,0.024082479067219657,0.09994913530010173,0.1128022536974724,0.05847484153689647,0.3830307535800923,0.05847484153689647,57.58110963299163,6.104253071445339,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.89,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:44:56 +0000,92d95f99,0.2.11,46083.973994500004,33.72780818448104,28.33236735834335
API Generated 2020-11-15 18:18:36 +0000,01495fbf-1ee7-4836-8c20-455da94c6015,2020-11-15T18:22:58.371Z,2020-11-15T18:26:12.702Z,completed,completed normal,0.162,0.314,2.2,add_daylighting_controls,NECB_Default,HS09_CCASHPSys,NECB_Default,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,240.53701385084904,13.915545034822754,66.36634321934423,24.633422020502387,345.4523045621723,0.0,CALGARY,ALBERTA,6.757007590578292,0.1725007825338446,0.0,6.929508373112136,0.0,0.023515142029892792,0.0,0.0,0.34507786211753655,0.0581031379607168,0.050708193129352847,0.09994913530010173,0.1128022536974724,0.05847484153689647,0.403552703654433,0.05847484153689647,56.70930824008138,6.104253071445339,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.89,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:25:57 +0000,92d95f99,0.2.11,48998.844436002786,35.53659303527552,28.33109728340213
API Generated 2020-11-15 18:31:28 +0000,019ed1c2-1ddf-40f0-97ce-ec8e18402b74,{},{},na,"",0.121,0.21,2.2,NECB_Default,NECB_Default,HS09_CCASHPSys,NECB_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API Generated 2020-11-15 18:30:11 +0000,0236bea6-6853-466a-8479-14d326bfd4ba,2020-11-15T18:38:22.487Z,2020-11-15T18:39:56.732Z,completed,completed normal,0.121,0.314,2.2,add_daylighting_controls,Occupancy_based_DCV,NECB_Default,LED,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,241.9719852883637,71.17620705845528,66.36634321934423,24.633422020502387,645.9022419594647,241.75430393614525,CALGARY,ALBERTA,5.783293684951873,0.3728763987792472,0.0,6.15617008373112,0.0,0.024454182643399325,0.0,0.0,0.2953478362939197,0.05710540730886611,0.06792393771030597,0.09994913530010173,0.1128022536974724,0.12639877924720244,0.42174661554112214,0.05847484153689647,31.285585726582674,54.890543078488136,Natural Gas,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.89,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:39:37 +0000,92d95f99,0.2.11,41937.92358394167,37.13865961740779,61.237539950532145
API Generated 2020-11-15 18:30:26 +0000,023887ac-b6bd-47f3-a016-96e055f1eff5,2020-11-15T18:41:14.350Z,2020-11-15T18:42:48.795Z,completed,completed normal,0.162,0.314,2.2,NECB_Default,CO2_based_DCV,NECB_Default,LED,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,240.53701385084904,73.30640112684874,66.36634321934423,24.633422020502387,655.0796032553408,250.23642303779638,CALGARY,ALBERTA,6.231079505438609,0.3415388528053839,0.0,6.572618358243992,0.0,0.029521089287111665,0.0,0.0,0.31821738790202675,0.061937553799201815,0.0573010407700133,0.09994913530010173,0.12569449878707253,0.11577588230690977,0.4339932702089365,0.05847484153689647,33.48685343141091,57.809511698880975,Natural Gas,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.89,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:42:30 +0000,92d95f99,0.2.11,45184.77743046111,38.21531726669021,56.089583475657044
API Generated 2020-11-15 18:18:37 +0000,023d5946-39bb-42f3-aff0-7ca448985bd4,2020-11-15T18:24:07.376Z,2020-11-15T18:25:10.729Z,completed,completed normal,0.142,0.183,2.2,add_daylighting_controls,Occupancy_based_DCV,NECB_Default,LED,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,243.21500117380074,71.06874559824712,66.36634321934423,24.633422020502387,647.3717231395258,242.08823069097738,CALGARY,ALBERTA,5.802446200798183,0.3540046169496831,0.0,6.156450817747866,0.0,0.025236716487988104,0.0,0.0,0.2963455669457704,0.05745754753893106,0.0615267235307927,0.09994913530010173,0.1128022536974724,0.12000156506768918,0.4163471320134596,0.05847484153689647,31.354663901713746,52.39472963455669,Natural Gas,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.89,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:24:57 +0000,92d95f99,0.2.11,42077.719081872216,36.6614849472458,58.141745446450656
API Generated 2020-11-15 18:30:36 +0000,034762b2-a708-4903-9d27-1920a99f61fd,2020-11-15T18:44:48.186Z,2020-11-15T18:46:18.304Z,completed,completed normal,-1.0,-1.0,1.6,add_daylighting_controls,Occupancy_based_DCV,HS08_VRFZonal,LED,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,243.9274591126066,0.0,66.36634321934423,24.633422020502387,334.9272243524532,0.0,CALGARY,ALBERTA,5.72200563424368,0.17261620627592145,0.0,5.894621840519601,0.0,0.020071993113702166,0.0,0.0,0.2922372642616793,0.009468659519524218,0.049945222630878784,0.09994913530010173,0.1128022536974724,0.058513968229125905,0.3507512324908052,0.058513968229125905,53.53186869082087,6.104253071445339,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.91,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:46:04 +0000,92d95f99,0.2.11,41494.80633017223,30.885431990375437,28.345949577677438
API Generated 2020-11-15 18:26:32 +0000,03710e40-4b9b-41bc-a4c1-8f24a7ac51f0,2020-11-15T18:34:15.147Z,{},started,"",0.162,0.21,2.2,add_daylighting_controls,CO2_based_DCV,NECB_Default,NECB_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API Generated 2020-11-15 18:30:26 +0000,0396af9c-da7e-4997-a126-d55b0fe7c43b,2020-11-15T18:41:12.392Z,2020-11-15T18:42:58.433Z,completed,completed normal,-1.0,0.21,2.4,add_daylighting_controls,CO2_based_DCV,HS08_VRFZonal,LED,"","","","",511.16,937.0966811798496,21.2,SmallOffice,"","",0.0,SmallOffice,1.0,1.0,NECB2011,0.39750538089578474,2357.444015142857,241.20052429767586,0.0,66.36634321934423,24.633422020502387,332.2002895375225,0.0,CALGARY,ALBERTA,5.726219187729869,0.172558494404883,0.0,5.898777682134752,0.0,0.019406839345801705,0.0,0.0,0.29245246106894124,0.009722983019015571,0.05057124970654981,0.09994913530010173,0.1128022536974724,0.058494404883011185,0.3509468659519524,0.058494404883011185,46.64069958525706,6.104253071445339,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,0.0,0.0,0.0,0.0,29.9,25.583583583583586,0.3021340629274966,0.011809684985701898,110.43,0.1,2020-11-15 18:42:36 +0000,92d95f99,0.2.11,41525.247821997225,30.902658512763956,28.34361794756147
